record; height; mass; shoulders width; lung capacity; muscle to fat ratio 
yes; 1.91; 76; 48.00; 6.27; 0.14 
no; 1.9; 79; 46.00; 5.73; 0.19 
no; 1.75; 80; 39.00; 5.94; 0.18 
no; 1.88; 74; 39.00; 5.91; 0.15 
no; 1.88; 78; 43.00; 5.83; 0.15 
no; 1.84; 79; 44.00; 6.07; 0.19 
no; 1.75; 78; 40.00; 5.81; 0.16 
no; 1.86; 76; 42.00; 5.77; 0.15 
no; 1.75; 76; 44.00; 6.06; 0.17 
no; 1.76; 77; 41.00; 6.02; 0.20 
no; 1.76; 75; 41.00; 5.93; 0.14 
no; 1.87; 75; 46.00; 5.74; 0.17 
no; 1.84; 79; 43.00; 6.06; 0.17 
no; 1.77; 73; 39.00; 5.78; 0.15 
no; 1.88; 75; 43.00; 5.91; 0.16 
no; 1.81; 80; 41.00; 6.02; 0.19 
yes; 1.9; 76; 49.00; 6.14; 0.18 
no; 1.81; 79; 43.00; 5.89; 0.17 
no; 1.75; 76; 39.00; 5.88; 0.17 
no; 1.79; 74; 40.00; 6.02; 0.14 
no; 1.83; 72; 45.00; 6.08; 0.15 
no; 1.9; 75; 46.00; 6.01; 0.18 
no; 1.81; 79; 46.00; 5.85; 0.14 
yes; 1.9; 76; 42.00; 6.09; 0.16 
no; 1.9; 78; 43.00; 5.78; 0.18 
no; 1.82; 73; 39.00; 5.93; 0.17 
no; 1.83; 73; 42.00; 6.07; 0.16 
no; 1.81; 79; 46.00; 5.97; 0.20 
no; 1.77; 74; 43.00; 5.84; 0.17 
no; 1.89; 80; 43.00; 5.90; 0.17 
no; 1.85; 76; 44.00; 6.06; 0.18 
no; 1.84; 78; 42.00; 5.80; 0.18 
no; 1.88; 76; 41.00; 5.72; 0.16 
no; 1.78; 79; 46.00; 5.92; 0.17 
no; 1.76; 80; 39.00; 5.74; 0.14 
no; 1.83; 77; 43.00; 5.94; 0.19 
no; 1.9; 72; 46.00; 5.84; 0.20 
no; 1.9; 73; 45.00; 5.98; 0.18 
no; 1.88; 78; 39.00; 6.09; 0.19 
no; 1.82; 76; 44.00; 6.05; 0.17 
no; 1.77; 76; 46.00; 5.83; 0.17 
no; 1.9; 72; 41.00; 5.98; 0.19 
no; 1.89; 80; 39.00; 6.04; 0.14 
no; 1.84; 74; 45.00; 6.02; 0.20 
yes; 1.89; 80; 43.00; 6.08; 0.14 
yes; 1.87; 76; 43.00; 6.24; 0.17 
no; 1.86; 79; 45.00; 6.09; 0.15 
no; 1.85; 77; 42.00; 5.78; 0.18 
no; 1.85; 76; 39.00; 5.84; 0.14 
no; 1.87; 74; 46.00; 5.95; 0.16 
no; 1.79; 75; 42.00; 5.84; 0.18 
no; 1.76; 73; 41.00; 5.84; 0.17 
no; 1.87; 78; 45.00; 5.91; 0.18 
no; 1.84; 75; 43.00; 5.86; 0.19 
no; 1.81; 76; 40.00; 5.72; 0.17 
no; 1.78; 75; 45.00; 6.09; 0.18 
no; 1.82; 75; 40.00; 5.82; 0.18 
no; 1.8; 76; 46.00; 5.99; 0.17 
no; 1.87; 76; 41.00; 5.80; 0.16 
no; 1.82; 77; 44.00; 5.88; 0.18 
no; 1.86; 72; 45.00; 6.03; 0.19 
no; 1.87; 74; 43.00; 5.91; 0.18 
no; 1.88; 72; 44.00; 5.83; 0.18 
no; 1.79; 72; 42.00; 5.83; 0.17 
no; 1.87; 74; 41.00; 6.09; 0.18 
no; 1.86; 73; 40.00; 5.73; 0.17 
no; 1.82; 76; 40.00; 6.05; 0.16 
no; 1.78; 74; 44.00; 5.86; 0.19 
no; 1.89; 77; 40.00; 5.89; 0.16 
no; 1.82; 74; 39.00; 5.86; 0.19 
no; 1.82; 76; 42.00; 5.71; 0.19 
no; 1.88; 74; 40.00; 5.79; 0.17 
no; 1.9; 76; 45.00; 6.01; 0.15 
no; 1.76; 72; 39.00; 5.75; 0.15 
no; 1.8; 74; 45.00; 5.81; 0.15 
yes; 1.88; 75; 44.00; 6.01; 0.15 
no; 1.8; 73; 41.00; 5.85; 0.15 
no; 1.77; 79; 40.00; 5.91; 0.15 
yes; 1.88; 73; 50.00; 6.03; 0.17 
no; 1.85; 74; 41.00; 5.81; 0.19 
no; 1.78; 77; 43.00; 5.71; 0.17 
no; 1.88; 75; 43.00; 5.90; 0.14 
no; 1.77; 77; 43.00; 5.76; 0.18 
no; 1.76; 74; 45.00; 5.76; 0.16 
no; 1.8; 73; 40.00; 5.82; 0.16 
yes; 1.86; 73; 50.00; 6.29; 0.16 
no; 1.75; 73; 44.00; 5.86; 0.19 
no; 1.83; 75; 45.00; 5.97; 0.18 
no; 1.87; 76; 43.00; 5.87; 0.18 
no; 1.84; 74; 43.00; 6.09; 0.16 
no; 1.88; 78; 46.00; 5.94; 0.15 
no; 1.79; 73; 40.00; 5.86; 0.19 
no; 1.78; 76; 42.00; 6.02; 0.18 
no; 1.77; 76; 43.00; 5.71; 0.18 
no; 1.85; 75; 42.00; 5.71; 0.16 
no; 1.78; 75; 46.00; 5.80; 0.16 
no; 1.79; 78; 43.00; 6.00; 0.18 
no; 1.84; 72; 41.00; 5.95; 0.17 
no; 1.77; 73; 46.00; 5.80; 0.14 
no; 1.9; 80; 46.00; 5.84; 0.16 
no; 1.75; 78; 41.00; 5.70; 0.20 
yes; 1.86; 73; 44.00; 6.21; 0.15 
no; 1.87; 77; 45.00; 5.77; 0.14 
no; 1.76; 74; 44.00; 6.09; 0.17 
no; 1.86; 77; 41.00; 5.72; 0.16 
no; 1.77; 74; 43.00; 5.94; 0.19 
no; 1.79; 79; 39.00; 5.84; 0.20 
no; 1.81; 74; 45.00; 6.06; 0.16 
no; 1.79; 79; 41.00; 5.74; 0.19 
no; 1.86; 78; 43.00; 6.10; 0.18 
no; 1.88; 79; 44.00; 5.83; 0.17 
yes; 1.86; 76; 45.00; 5.95; 0.16 
no; 1.76; 79; 45.00; 6.09; 0.18 
no; 1.88; 80; 39.00; 5.78; 0.18 
no; 1.8; 75; 46.00; 5.91; 0.17 
no; 1.78; 78; 44.00; 5.93; 0.18 
no; 1.83; 80; 43.00; 5.73; 0.19 
no; 1.83; 73; 46.00; 5.97; 0.18 
no; 1.79; 77; 40.00; 5.82; 0.15 
yes; 1.92; 78; 44.00; 6.23; 0.18 
no; 1.87; 76; 43.00; 5.97; 0.15 
no; 1.9; 72; 42.00; 6.00; 0.18 
no; 1.84; 76; 43.00; 6.10; 0.17 
no; 1.9; 73; 39.00; 5.80; 0.17 
no; 1.85; 76; 46.00; 5.77; 0.19 
no; 1.9; 80; 45.00; 6.01; 0.15 
no; 1.76; 72; 40.00; 6.05; 0.16 
no; 1.89; 75; 40.00; 5.91; 0.14 
no; 1.79; 77; 39.00; 6.06; 0.19 
no; 1.79; 74; 44.00; 5.83; 0.16 
no; 1.9; 73; 46.00; 6.09; 0.19 
no; 1.87; 74; 45.00; 5.75; 0.19 
no; 1.89; 76; 42.00; 5.76; 0.18 
no; 1.76; 76; 39.00; 5.86; 0.19 
no; 1.79; 73; 43.00; 5.98; 0.18 
yes; 1.87; 78; 43.00; 6.00; 0.13 
no; 1.77; 80; 40.00; 5.82; 0.18 
no; 1.79; 80; 40.00; 5.87; 0.16 
no; 1.79; 73; 41.00; 5.72; 0.16 
no; 1.76; 72; 46.00; 6.06; 0.18 
no; 1.86; 72; 40.00; 5.83; 0.15 
no; 1.76; 77; 43.00; 5.86; 0.16 
no; 1.87; 78; 42.00; 5.71; 0.20 
no; 1.82; 75; 43.00; 5.77; 0.16 
no; 1.84; 75; 41.00; 5.84; 0.18 
no; 1.88; 72; 45.00; 6.01; 0.17 
yes; 1.9; 80; 50.00; 5.93; 0.18 
no; 1.84; 78; 39.00; 5.91; 0.15 
no; 1.77; 79; 42.00; 5.77; 0.19 
no; 1.8; 78; 41.00; 5.95; 0.19 
no; 1.78; 74; 43.00; 5.97; 0.15 
no; 1.8; 78; 45.00; 5.76; 0.17 
no; 1.83; 76; 46.00; 5.72; 0.18 
no; 1.9; 79; 42.00; 5.97; 0.19 
no; 1.88; 80; 39.00; 5.72; 0.18 
no; 1.81; 73; 39.00; 5.81; 0.16 
no; 1.82; 73; 44.00; 5.81; 0.14 
no; 1.75; 79; 44.00; 6.09; 0.14 
no; 1.87; 72; 43.00; 5.76; 0.18 
no; 1.78; 75; 44.00; 5.99; 0.20 
no; 1.89; 79; 43.00; 6.07; 0.15 
no; 1.79; 76; 43.00; 5.70; 0.17 
yes; 1.9; 81; 46.00; 6.26; 0.14 
no; 1.75; 72; 43.00; 5.74; 0.20 
no; 1.8; 78; 40.00; 6.01; 0.20 
no; 1.75; 75; 41.00; 5.75; 0.19 
no; 1.85; 80; 44.00; 5.84; 0.16 
yes; 1.87; 75; 49.00; 6.12; 0.13 
no; 1.88; 72; 43.00; 5.71; 0.19 
no; 1.82; 76; 41.00; 5.87; 0.17 
no; 1.76; 77; 45.00; 6.08; 0.20 
no; 1.87; 77; 45.00; 5.99; 0.16 
no; 1.8; 80; 44.00; 5.70; 0.14 
no; 1.77; 79; 43.00; 5.79; 0.17 
no; 1.79; 77; 41.00; 5.92; 0.14 
no; 1.75; 79; 44.00; 6.03; 0.14 
no; 1.9; 79; 45.00; 5.70; 0.19 
no; 1.77; 76; 43.00; 5.81; 0.15 
no; 1.76; 80; 46.00; 5.98; 0.15 
no; 1.88; 76; 39.00; 5.79; 0.14 
no; 1.82; 74; 41.00; 6.04; 0.19 
no; 1.8; 75; 41.00; 5.86; 0.16 
no; 1.87; 76; 40.00; 5.80; 0.14 
yes; 1.89; 78; 48.00; 5.97; 0.15 
no; 1.8; 79; 42.00; 5.89; 0.16 
no; 1.88; 72; 39.00; 5.84; 0.17 
no; 1.9; 80; 46.00; 5.81; 0.15 
no; 1.78; 79; 42.00; 5.99; 0.18 
no; 1.81; 78; 42.00; 6.01; 0.15 
yes; 1.92; 81; 43.00; 6.13; 0.16 
no; 1.78; 73; 40.00; 6.07; 0.17 
no; 1.82; 72; 42.00; 5.86; 0.19 
no; 1.83; 75; 39.00; 5.91; 0.16 
no; 1.9; 77; 46.00; 5.96; 0.19 
no; 1.9; 74; 46.00; 5.87; 0.14 
no; 1.76; 75; 39.00; 5.84; 0.19 
no; 1.86; 72; 42.00; 5.78; 0.17 
no; 1.88; 77; 43.00; 6.04; 0.18 
no; 1.9; 72; 44.00; 5.83; 0.18 
no; 1.89; 78; 41.00; 5.90; 0.20 
no; 1.88; 79; 41.00; 5.70; 0.16 
no; 1.78; 79; 46.00; 5.74; 0.18 
no; 1.86; 78; 39.00; 5.88; 0.20 
no; 1.88; 78; 40.00; 5.87; 0.18 
no; 1.76; 76; 46.00; 6.06; 0.16 
no; 1.77; 75; 44.00; 5.71; 0.19 
