record; height; mass; legs_length; lung capacity; muscle to fat ratio 
no; 1.75; 74; 73.00; 5.54; 0.15 
no; 1.67; 71; 74.00; 5.55; 0.14 
no; 1.77; 72; 77.00; 5.87; 0.15 
no; 1.81; 73; 75.00; 5.73; 0.15 
no; 1.84; 69; 73.00; 5.72; 0.15 
no; 1.83; 73; 80.00; 5.54; 0.16 
no; 1.65; 72; 75.00; 5.97; 0.17 
no; 1.74; 74; 78.00; 5.89; 0.17 
yes; 1.84; 69; 76.00; 5.79; 0.13 
no; 1.8; 72; 77.00; 5.66; 0.18 
yes; 1.78; 65; 76.00; 5.71; 0.19 
no; 1.77; 73; 79.00; 5.76; 0.14 
no; 1.65; 72; 77.00; 5.70; 0.19 
no; 1.83; 74; 71.00; 5.98; 0.20 
no; 1.72; 69; 71.00; 5.57; 0.16 
no; 1.7; 74; 79.00; 5.94; 0.18 
yes; 1.82; 72; 79.00; 5.69; 0.18 
no; 1.66; 73; 74.00; 5.59; 0.17 
no; 1.7; 73; 78.00; 5.78; 0.15 
no; 1.73; 70; 79.00; 5.76; 0.19 
no; 1.78; 71; 79.00; 5.93; 0.18 
no; 1.83; 69; 75.00; 5.77; 0.19 
no; 1.66; 69; 73.00; 5.58; 0.16 
no; 1.66; 74; 71.00; 5.81; 0.15 
no; 1.73; 74; 76.00; 5.75; 0.15 
yes; 1.86; 68; 77.00; 5.88; 0.14 
no; 1.69; 74; 79.00; 5.69; 0.14 
no; 1.77; 70; 76.00; 5.72; 0.15 
no; 1.82; 73; 76.00; 5.78; 0.20 
no; 1.74; 74; 71.00; 5.73; 0.16 
no; 1.74; 72; 78.00; 5.81; 0.17 
no; 1.72; 73; 76.00; 5.99; 0.14 
no; 1.75; 72; 77.00; 5.74; 0.15 
no; 1.83; 73; 78.00; 5.70; 0.18 
no; 1.84; 70; 75.00; 5.82; 0.18 
no; 1.69; 71; 72.00; 5.84; 0.15 
no; 1.82; 74; 77.00; 5.81; 0.14 
no; 1.65; 72; 71.00; 5.94; 0.14 
no; 1.69; 70; 73.00; 5.65; 0.15 
no; 1.85; 71; 72.00; 5.97; 0.16 
no; 1.69; 69; 74.00; 5.50; 0.17 
no; 1.73; 72; 73.00; 5.58; 0.19 
no; 1.7; 73; 72.00; 5.52; 0.15 
yes; 1.76; 67; 76.00; 5.75; 0.14 
no; 1.66; 74; 76.00; 5.86; 0.17 
no; 1.83; 72; 74.00; 5.84; 0.16 
no; 1.66; 73; 77.00; 5.93; 0.17 
no; 1.66; 74; 76.00; 5.96; 0.17 
no; 1.85; 73; 73.00; 5.50; 0.18 
no; 1.65; 70; 74.00; 5.56; 0.19 
no; 1.84; 70; 78.00; 5.89; 0.18 
no; 1.7; 74; 79.00; 5.98; 0.17 
no; 1.71; 74; 71.00; 5.90; 0.20 
no; 1.75; 72; 71.00; 5.85; 0.15 
no; 1.72; 71; 73.00; 5.72; 0.16 
no; 1.68; 70; 76.00; 5.62; 0.16 
no; 1.75; 69; 73.00; 5.90; 0.17 
no; 1.66; 70; 75.00; 5.89; 0.19 
no; 1.82; 71; 76.00; 5.72; 0.18 
no; 1.82; 71; 77.00; 5.62; 0.14 
no; 1.76; 70; 79.00; 5.55; 0.18 
no; 1.68; 70; 71.00; 5.63; 0.14 
no; 1.68; 70; 71.00; 5.69; 0.19 
no; 1.83; 70; 74.00; 5.77; 0.17 
no; 1.73; 71; 74.00; 5.77; 0.15 
no; 1.75; 73; 76.00; 5.58; 0.19 
yes; 1.8; 70; 81.00; 5.99; 0.16 
no; 1.69; 72; 80.00; 5.99; 0.18 
no; 1.66; 71; 72.00; 5.93; 0.16 
no; 1.68; 74; 74.00; 5.73; 0.18 
no; 1.69; 72; 80.00; 5.67; 0.15 
no; 1.7; 74; 78.00; 5.74; 0.15 
no; 1.71; 73; 79.00; 5.76; 0.19 
no; 1.77; 74; 75.00; 5.68; 0.16 
no; 1.76; 73; 74.00; 5.79; 0.18 
no; 1.72; 72; 77.00; 5.87; 0.14 
no; 1.73; 69; 72.00; 5.86; 0.17 
no; 1.76; 70; 76.00; 5.86; 0.19 
no; 1.79; 71; 78.00; 5.72; 0.20 
no; 1.85; 70; 79.00; 6.00; 0.17 
no; 1.75; 72; 75.00; 5.61; 0.17 
no; 1.82; 72; 80.00; 5.74; 0.20 
no; 1.72; 70; 74.00; 5.72; 0.17 
no; 1.75; 69; 75.00; 5.54; 0.19 
no; 1.81; 72; 77.00; 5.70; 0.15 
no; 1.84; 71; 78.00; 5.98; 0.17 
no; 1.67; 71; 77.00; 5.95; 0.20 
no; 1.68; 74; 77.00; 5.77; 0.15 
no; 1.77; 71; 76.00; 5.66; 0.18 
yes; 1.83; 65; 77.00; 5.50; 0.14 
no; 1.85; 73; 78.00; 5.90; 0.16 
no; 1.8; 72; 80.00; 5.91; 0.17 
no; 1.78; 73; 72.00; 5.58; 0.18 
no; 1.84; 73; 71.00; 5.54; 0.16 
no; 1.73; 73; 77.00; 5.79; 0.16 
no; 1.71; 69; 79.00; 5.94; 0.17 
