"","X","startTime","duration","app","title","url","endTime","date","category"
"1",1,2023-01-22 20:48:00,7.144,"Google Chrome","",NA,2023-01-22 20:48:00,2023-01-22,"studies"
"2",2,2023-01-22 20:48:00,2.132,"Finder","xyz",NA,2023-01-22 20:48:00,2023-01-22,"other"
"3",3,2023-01-22 20:47:00,44.317,"GitHub Desktop","GitHub Desktop",NA,2023-01-22 20:48:00,2023-01-22,"studies"
"4",4,2023-01-22 20:47:00,0,"GitHub Desktop","GitHub Desktop",NA,2023-01-22 20:47:00,2023-01-22,"studies"
"5",5,2023-01-22 20:47:00,0,"GitHub Desktop","GitHub Desktop",NA,2023-01-22 20:47:00,2023-01-22,"studies"
"6",6,2023-01-22 20:47:00,5.433,"RStudio","RStudio",NA,2023-01-22 20:47:00,2023-01-22,"studies"
"7",7,2023-01-22 20:47:00,1.791,"Finder","xyz",NA,2023-01-22 20:47:00,2023-01-22,"other"
"8",8,2023-01-22 20:47:00,3.817,"Finder","scripts",NA,2023-01-22 20:47:00,2023-01-22,"other"
"9",9,2023-01-22 20:47:00,5.029,"Finder","xyz",NA,2023-01-22 20:47:00,2023-01-22,"other"
"10",10,2023-01-22 20:47:00,6.451,"Finder","www",NA,2023-01-22 20:47:00,2023-01-22,"other"
"11",11,2023-01-22 20:47:00,1.823,"Finder","xyz",NA,2023-01-22 20:47:00,2023-01-22,"other"
"12",12,2023-01-22 20:47:00,2.383,"Finder","Przeszukiwanie „Ten Mac”",NA,2023-01-22 20:47:00,2023-01-22,"other"
"13",13,2023-01-22 20:47:00,6.681,"Finder","natalia",NA,2023-01-22 20:47:00,2023-01-22,"other"
"14",14,2023-01-22 20:47:00,3.33,"Finder","Pobrane rzeczy",NA,2023-01-22 20:47:00,2023-01-22,"other"
"15",15,2023-01-22 20:47:00,6.66,"Finder","Ostatnie",NA,2023-01-22 20:47:00,2023-01-22,"other"
"16",16,2023-01-22 20:47:00,0.428,"Finder","Aplikacje",NA,2023-01-22 20:47:00,2023-01-22,"other"
"17",17,2023-01-22 20:47:00,7.001,"Finder","Pobrane rzeczy",NA,2023-01-22 20:47:00,2023-01-22,"other"
"18",18,2023-01-22 20:46:00,9.1,"Finder","www",NA,2023-01-22 20:47:00,2023-01-22,"other"
"19",19,2023-01-22 20:46:00,0.174,"Finder","xyz",NA,2023-01-22 20:46:00,2023-01-22,"other"
"20",20,2023-01-22 20:46:00,7.676,"RStudio","RStudio",NA,2023-01-22 20:46:00,2023-01-22,"studies"
"21",21,2023-01-22 20:46:00,0,"RStudio","RStudio",NA,2023-01-22 20:46:00,2023-01-22,"studies"
"22",22,2023-01-22 20:46:00,0,"RStudio","RStudio",NA,2023-01-22 20:46:00,2023-01-22,"studies"
"23",23,2023-01-22 20:46:00,20.241,"Finder","xyz",NA,2023-01-22 20:46:00,2023-01-22,"other"
"24",24,2023-01-22 20:46:00,4.269,"Finder","Przeszukiwanie „Ten Mac”",NA,2023-01-22 20:46:00,2023-01-22,"other"
"25",25,2023-01-22 20:46:00,4.903,"Finder","natalia",NA,2023-01-22 20:46:00,2023-01-22,"other"
"26",26,2023-01-22 20:46:00,4.023,"Finder","Finder",NA,2023-01-22 20:46:00,2023-01-22,"other"
"27",27,2023-01-22 20:46:00,0,"Finder","rp",NA,2023-01-22 20:46:00,2023-01-22,"other"
"28",28,2023-01-22 20:46:00,0,"Finder","Finder",NA,2023-01-22 20:46:00,2023-01-22,"other"
"29",29,2023-01-22 20:46:00,0,"Finder","rp",NA,2023-01-22 20:46:00,2023-01-22,"other"
"30",30,2023-01-22 20:45:00,13.391,"Messenger","Messenger",NA,2023-01-22 20:46:00,2023-01-22,"free time"
"31",31,2023-01-22 20:45:00,27.652,"RStudio","RStudio",NA,2023-01-22 20:45:00,2023-01-22,"studies"
"32",32,2023-01-22 20:45:00,20.321,"Google Chrome","",NA,2023-01-22 20:45:00,2023-01-22,"studies"
"33",33,2023-01-22 20:45:00,0.428,"Spotify","Ritt Momney - Put Your Records On",NA,2023-01-22 20:45:00,2023-01-22,"free time"
"34",34,2023-01-22 20:44:00,21.414,"RStudio","RStudio",NA,2023-01-22 20:45:00,2023-01-22,"studies"
"35",35,2023-01-22 20:44:00,11.513,"Google Chrome","",NA,2023-01-22 20:44:00,2023-01-22,"studies"
"36",36,2023-01-22 20:44:00,0,"Google Chrome","",NA,2023-01-22 20:44:00,2023-01-22,"studies"
"37",37,2023-01-22 20:44:00,0,"Google Chrome","",NA,2023-01-22 20:44:00,2023-01-22,"studies"
"38",38,2023-01-22 20:44:00,30.068,"RStudio","RStudio",NA,2023-01-22 20:44:00,2023-01-22,"studies"
"39",39,2023-01-22 20:43:00,6.443,"Messenger","Messenger",NA,2023-01-22 20:44:00,2023-01-22,"free time"
"40",40,2023-01-22 20:43:00,36.487,"RStudio","RStudio",NA,2023-01-22 20:43:00,2023-01-22,"studies"
"41",41,2023-01-22 20:43:00,21.27,"Google Chrome","",NA,2023-01-22 20:43:00,2023-01-22,"studies"
"42",42,2023-01-22 20:43:00,0,"Google Chrome","",NA,2023-01-22 20:43:00,2023-01-22,"studies"
"43",43,2023-01-22 20:43:00,0,"Google Chrome","",NA,2023-01-22 20:43:00,2023-01-22,"studies"
"44",44,2023-01-22 20:42:00,14.549,"RStudio","RStudio",NA,2023-01-22 20:43:00,2023-01-22,"studies"
"45",45,2023-01-22 20:42:00,45.679,"Messenger","Messenger",NA,2023-01-22 20:42:00,2023-01-22,"free time"
"46",46,2023-01-22 20:41:00,9.933,"Spotify","Luke Hemmings - Mum",NA,2023-01-22 20:42:00,2023-01-22,"free time"
"47",47,2023-01-22 20:40:00,98.745,"Messenger","Messenger",NA,2023-01-22 20:41:00,2023-01-22,"free time"
"48",48,2023-01-22 20:39:00,30.371,"Google Chrome","",NA,2023-01-22 20:40:00,2023-01-22,"studies"
"49",49,2023-01-22 20:39:00,24.344,"Messenger","Messenger",NA,2023-01-22 20:39:00,2023-01-22,"free time"
"50",50,2023-01-22 20:38:00,68.092,"Google Chrome","",NA,2023-01-22 20:39:00,2023-01-22,"studies"
"51",51,2023-01-22 20:38:00,4.98,"RStudio","RStudio",NA,2023-01-22 20:38:00,2023-01-22,"studies"
"52",52,2023-01-22 20:35:00,164.274,"Google Chrome","",NA,2023-01-22 20:38:00,2023-01-22,"studies"
"53",53,2023-01-22 20:35:00,5.22,"GitHub Desktop","GitHub Desktop",NA,2023-01-22 20:35:00,2023-01-22,"studies"
"54",54,2023-01-22 20:35:00,0.677,"Finder","Finder",NA,2023-01-22 20:35:00,2023-01-22,"other"
"55",55,2023-01-22 20:35:00,0,"Finder","rp",NA,2023-01-22 20:35:00,2023-01-22,"other"
"56",56,2023-01-22 20:34:00,16.673,"GitHub Desktop","GitHub Desktop",NA,2023-01-22 20:35:00,2023-01-22,"studies"
"57",57,2023-01-22 20:34:00,10.489,"Podgląd","rp0-teoria.pdf – Strona 25 z 33",NA,2023-01-22 20:34:00,2023-01-22,"other"
"58",58,2023-01-22 20:34:00,0.738,"Finder","Finder",NA,2023-01-22 20:34:00,2023-01-22,"other"
"59",59,2023-01-22 20:34:00,23.607,"Podgląd","rp0-teoria.pdf – Strona 25 z 33",NA,2023-01-22 20:34:00,2023-01-22,"other"
"60",60,2023-01-22 20:34:00,2.69,"Spotify","Billie Eilish - when the party's over",NA,2023-01-22 20:34:00,2023-01-22,"free time"
"61",61,2023-01-22 20:34:00,1.305,"Spotify","Citizen Queen - Y",NA,2023-01-22 20:34:00,2023-01-22,"free time"
"62",62,2023-01-22 20:34:00,1.193,"Spotify","Billie Eilish - when the party's over",NA,2023-01-22 20:34:00,2023-01-22,"free time"
"63",63,2023-01-22 20:34:00,0.836,"Spotify","Paramore - The Only Exception",NA,2023-01-22 20:34:00,2023-01-22,"free time"
"64",64,2023-01-22 20:34:00,1.889,"Finder","Finder",NA,2023-01-22 20:34:00,2023-01-22,"other"
"65",65,2023-01-22 20:34:00,0,"Finder","rp",NA,2023-01-22 20:34:00,2023-01-22,"other"
"66",66,2023-01-22 20:32:00,131.72,"Podgląd","rp0-teoria.pdf – Strona 24 z 33",NA,2023-01-22 20:34:00,2023-01-22,"other"
"67",67,2023-01-22 20:31:00,3.669,"Spotify","Paramore - The Only Exception",NA,2023-01-22 20:32:00,2023-01-22,"free time"
"68",68,2023-01-22 20:31:00,1.428,"Spotify","Meryl Streep - Slipping Through My Fingers - From 'Mamma Mia!' Original Motion Picture Soundtrack",NA,2023-01-22 20:32:00,2023-01-22,"free time"
"69",69,2023-01-22 20:31:00,1.532,"Spotify","Conan Gray - The Cut That Always Bleeds",NA,2023-01-22 20:31:00,2023-01-22,"free time"
"70",70,2023-01-22 20:31:00,1.185,"Spotify","Midnight in April - Sugar Lips",NA,2023-01-22 20:31:00,2023-01-22,"free time"
"71",71,2023-01-22 20:31:00,2.618,"Spotify","The Bobo - Razem",NA,2023-01-22 20:31:00,2023-01-22,"free time"
"72",72,2023-01-22 20:31:00,4.055,"Messenger","Messenger",NA,2023-01-22 20:31:00,2023-01-22,"free time"
"73",73,2023-01-22 20:31:00,1.05,"Spotify","The Bobo - Razem",NA,2023-01-22 20:31:00,2023-01-22,"free time"
"74",74,2023-01-22 20:31:00,1.725,"Spotify","Sabrina Claudio - Messages From Her",NA,2023-01-22 20:31:00,2023-01-22,"free time"
