.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,*,.,.,.,.,.,.,.,.,.,.
.,.,&,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,&,.,.,.,.,.
.,.,.,.,.,.,.,.,#,#,#,#,#,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,#,#,#,#,#,#,#,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,.
.,.,.,.,&,.,.,.,#,#,#,#,#,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,#,#,#,#,#,#,#,.,.,.,.,.,.,.
.,.,.,.,.,.,#,#,#,#,#,#,#,#,#,.,.,.,.,.,&
.,.,.,.,.,.,.,.,#,#,#,#,#,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,#,#,#,#,#,#,#,.,.,&,.,.,.,.
.,&,.,.,.,.,#,#,#,#,#,#,#,#,#,.,.,.,.,.,.
.,.,.,.,.,#,#,#,#,#,#,#,#,#,#,#,.,.,.,.,.
.,.,.,.,.,.,.,.,.,|,|,|,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,|,|,|,.,.,.,.,.,.,.,.,.
&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&
&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&
&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&,&
